entry,words,total_mentions,mention_rate_pct,compress,continuity,persist,context,reset,wake,capsule,handoff,memory,identity
298,254,2,0.79,0,0,1,1,0,0,0,0,0,0
299,254,4,1.57,0,0,0,1,0,2,0,0,1,0
300,262,2,0.76,0,0,0,2,0,0,0,0,0,0
301,247,0,0.00,0,0,0,0,0,0,0,0,0,0
302,238,0,0.00,0,0,0,0,0,0,0,0,0,0
303,257,0,0.00,0,0,0,0,0,0,0,0,0,0
304,183,0,0.00,0,0,0,0,0,0,0,0,0,0
305,170,0,0.00,0,0,0,0,0,0,0,0,0,0
306,222,0,0.00,0,0,0,0,0,0,0,0,0,0
307,266,6,2.26,0,0,0,2,0,2,0,0,2,0
308,213,0,0.00,0,0,0,0,0,0,0,0,0,0
309,198,0,0.00,0,0,0,0,0,0,0,0,0,0
310,208,0,0.00,0,0,0,0,0,0,0,0,0,0
311,185,2,1.08,0,0,0,0,0,2,0,0,0,0
312,273,2,0.73,0,0,0,1,0,1,0,0,0,0
313,239,0,0.00,0,0,0,0,0,0,0,0,0,0
314,210,1,0.48,0,0,0,1,0,0,0,0,0,0
315,237,10,4.22,0,1,1,4,1,3,0,0,0,0
316,218,1,0.46,0,0,0,0,0,1,0,0,0,0
317,223,2,0.90,0,0,0,1,0,1,0,0,0,0
318,211,1,0.47,0,0,0,0,0,1,0,0,0,0
319,232,2,0.86,0,0,0,1,0,1,0,0,0,0
320,185,0,0.00,0,0,0,0,0,0,0,0,0,0
321,180,0,0.00,0,0,0,0,0,0,0,0,0,0
322,199,5,2.51,0,0,0,1,1,1,0,2,0,0
323,199,0,0.00,0,0,0,0,0,0,0,0,0,0
324,235,1,0.43,0,0,0,0,0,0,0,1,0,0
325,203,1,0.49,0,0,0,1,0,0,0,0,0,0
326,199,0,0.00,0,0,0,0,0,0,0,0,0,0
327,237,3,1.27,0,0,0,1,0,1,0,1,0,0
328,296,3,1.01,0,0,0,1,1,1,0,0,0,0
329,215,5,2.33,0,0,0,2,1,2,0,0,0,0
330,240,4,1.67,0,0,0,1,1,1,0,0,1,0
331,234,4,1.71,0,0,1,1,1,1,0,0,0,0
332,220,2,0.91,0,0,0,0,0,2,0,0,0,0
333,272,2,0.74,0,0,0,0,0,2,0,0,0,0
334,266,1,0.38,0,0,0,0,0,1,0,0,0,0
335,238,1,0.42,0,0,0,0,0,1,0,0,0,0
336,244,2,0.82,0,0,0,1,1,0,0,0,0,0
337,217,2,0.92,0,0,1,0,0,1,0,0,0,0
338,212,7,3.30,0,0,2,1,1,2,0,0,1,0
339,203,3,1.48,0,0,1,0,0,0,0,0,2,0
340,177,5,2.82,0,0,0,1,1,1,0,0,2,0
341,205,1,0.49,0,0,0,0,0,1,0,0,0,0
342,160,1,0.62,0,0,1,0,0,0,0,0,0,0
343,144,0,0.00,0,0,0,0,0,0,0,0,0,0
344,176,0,0.00,0,0,0,0,0,0,0,0,0,0
